CampaignCode,MarketingSpend
CAM018,33043
CAM019,13418
CAM020,59377
CAM001,58424
CAM002,48369
CAM003,76121
CAM004,66069
CAM005,59496
CAM006,13161
CAM007,32110
CAM008,60069
CAM009,56049
CAM010,81556
CAM011,96163
CAM012,7560
CAM013,80456
CAM014,54857
CAM015,67518
CAM016,5772
CAM017,51105
CAM018,44139
CAM019,56116
CAM020,59921
CAM001,75545
CAM002,76582
CAM003,84069
CAM004,33906
CAM005,68993
CAM006,33760
CAM007,40774
CAM008,62125
CAM009,68654
CAM010,8804
CAM011,55968
CAM012,49057
CAM013,92670
CAM014,94016
CAM015,57994
CAM016,99919
CAM017,26632
CAM018,66261
CAM019,21728
CAM020,86560
CAM001,75008
CAM002,8534
CAM003,56645
CAM004,82580
CAM005,78975
CAM006,91900
CAM007,8552
CAM008,16003
CAM009,89246
CAM010,61179
CAM011,22786
CAM012,65515
CAM013,28819
CAM014,11590
CAM015,39099
CAM016,54689
CAM017,47906
CAM018,32742
CAM019,64598
CAM020,47840
CAM001,49236
CAM002,54692
CAM003,41471
CAM004,60255
CAM005,38065
CAM006,15735
CAM007,66644
CAM008,7540
CAM009,75702
CAM010,11826
CAM011,50870
CAM012,34389
CAM013,90215
CAM014,13993
CAM015,90426
CAM016,10276
CAM017,9067
CAM018,37411
CAM019,31130
CAM020,7671
CAM001,86439
CAM002,24973
CAM003,36266
CAM004,21544
CAM005,67070
CAM006,92747
CAM007,19993
CAM008,78920
CAM009,33569
CAM010,65952
CAM011,96680
CAM012,38586
CAM013,53351
CAM014,26992
CAM015,84415
CAM016,84593
CAM017,99156
CAM018,20012
CAM019,26465
CAM020,45768
CAM001,19168
CAM002,80849
CAM003,8365
CAM004,45888
CAM005,80470
CAM006,93781
CAM007,54192
CAM008,56990
CAM009,98718
CAM010,30995
CAM011,14961
CAM012,82607
CAM013,95520
CAM014,87213
CAM015,36830
CAM016,18356
CAM017,96382
CAM018,44529
CAM019,94687
CAM020,83697
CAM001,20866
CAM002,79177
CAM003,10383
CAM004,50508
CAM005,74827
CAM006,61148
CAM007,91706
CAM008,53571
CAM009,14038
CAM010,71317
CAM011,89874
CAM012,49725
CAM013,6658
CAM014,60057
CAM015,69251
CAM016,18833
CAM017,61822
CAM018,52472
CAM019,88307
CAM020,65258
CAM001,97708
CAM002,25052
CAM003,62080
CAM004,28086
CAM005,73386
CAM006,90256
CAM007,40400
CAM008,85728
CAM009,75539
CAM010,68372
CAM011,65931
CAM012,62091
CAM013,82656
CAM014,40179
CAM015,47245
CAM016,37177
CAM017,16359
CAM018,41559
CAM019,64087
CAM020,36963
CAM001,65910
CAM002,79691
CAM003,84997
CAM004,92580
CAM005,54674
CAM006,49092
CAM007,8761
CAM008,69789
CAM009,47600
CAM010,28834
CAM011,68904
CAM012,32802
CAM013,51507
CAM014,38862
CAM015,49608
CAM016,41655
CAM017,83139
CAM018,96905
CAM019,41211
CAM020,77848
CAM001,6330
CAM002,72715
CAM003,30042
CAM004,16221
CAM005,36635
CAM006,99381
CAM007,58271
CAM008,69038
CAM009,77768
CAM010,36499
CAM011,95519
CAM012,67402
CAM013,89659
CAM014,98302
CAM015,69332
CAM016,63743
CAM017,7260
CAM018,17196
CAM019,43566
CAM020,34045
CAM001,58005
CAM002,95673
CAM003,36890
CAM004,45135
CAM005,92026
CAM006,81225
CAM007,53368
CAM008,67031
CAM009,77544
CAM010,74588
CAM011,50056
CAM012,60771
CAM013,77140
CAM014,48357
CAM015,51112
CAM016,97124
CAM017,64473
CAM018,40509
CAM019,45189
CAM020,37951
CAM001,35217
CAM002,20814
CAM003,99540
CAM004,30242
CAM005,46359
CAM006,20670
CAM007,75236
CAM008,95461
CAM009,29267
CAM010,30105
CAM011,33361
CAM012,68464
CAM013,41241
CAM014,99972
CAM015,82278
CAM016,73765
CAM017,83222
CAM018,42093
CAM019,18176
CAM020,30443
CAM001,43829
CAM002,34816
CAM003,52301
CAM004,28519
CAM005,44618
CAM006,6854
CAM007,97801
CAM008,75010
CAM009,21591
CAM010,40954
CAM011,10965
CAM012,12146
CAM013,77529
CAM014,43290
CAM015,96411
CAM016,21551
CAM017,88606
CAM018,69340
CAM019,18446
CAM020,6607
CAM001,80243
CAM002,42268
CAM003,66524
CAM004,67746
CAM005,62733
CAM006,49657
CAM007,29164
CAM008,11734
CAM009,38092
CAM010,67616
CAM011,19953
CAM012,13564
CAM013,57521
CAM014,69454
CAM015,14710
CAM016,80631
CAM017,87502
CAM018,94974
CAM019,12026
CAM020,24887
CAM001,24555
CAM002,78772
CAM003,44824
CAM004,16164
CAM005,37530
CAM006,20525
CAM007,78147
CAM008,59548
CAM009,84471
CAM010,83135
CAM011,86057
CAM012,34581
CAM013,73494
CAM014,54856
CAM015,64049
CAM016,63028
CAM017,43974
CAM018,82139
CAM019,61207
CAM020,45026
CAM001,79531
CAM002,86399
CAM003,12894
CAM004,84905
CAM005,18006
CAM006,32235
CAM007,86987
CAM008,32659
CAM009,39687
CAM010,91563
CAM011,15641
CAM012,25585
CAM013,36439
CAM014,27782
CAM015,77350
CAM016,14838
CAM017,25517
CAM018,5350
CAM019,58545
CAM020,64048
